order_id,product_category,product_name,quantity,unit_price,total_revenue,region,Payment Method,order_date
10057,Clothing,Calvin Klein Boxer Briefs,5,29.99,149.95,Asia,Debit Card,26/02/2024
10058,Books,Educated by Tara Westover,3,28,84,North America,Credit Card,27/02/2024
10059,Beauty Products,Anastasia Beverly Hills Brow Wiz,2,23,46,Europe,PayPal,28/02/2024
10060,Sports,Hyperice Hypervolt Massager,1,349,349,Asia,Credit Card,29/02/2024
10061,Electronics,Nintendo Switch,3,299.99,899.97,North America,Credit Card,01/03/2024
10062,Home Appliances,Philips Airfryer XXL,2,199.99,399.98,Europe,PayPal,02/03/2024
10063,Clothing,Hanes ComfortSoft T-Shirt,10,9.99,99.9,Asia,Debit Card,03/03/2024
10064,Books,Where the Crawdads Sing by Delia Owens,4,18.99,75.96,North America,Credit Card,04/03/2024
10065,Beauty Products,Lancome La Vie Est Belle,1,102,102,Europe,PayPal,05/03/2024
10066,Sports,Garmin Edge 530,2,299.99,599.98,Asia,Credit Card,06/03/2024
10067,Electronics,Samsung QLED 4K TV,1,1199.99,1199.99,North America,Credit Card,07/03/2024
10068,Home Appliances,Eufy RoboVac 11S,3,219.99,659.97,Europe,PayPal,08/03/2024
10069,Clothing,Puma Suede Classic Sneakers,4,59.99,239.96,Asia,Debit Card,09/03/2024
10070,Books,The Great Gatsby by F. Scott Fitzgerald,2,10.99,21.98,North America,Credit Card,10/03/2024
10071,Beauty Products,Drunk Elephant C-Firma Day Serum,1,78,78,Europe,PayPal,11/03/2024
10072,Sports,Nike Metcon 6,3,129.99,389.97,Asia,Credit Card,12/03/2024
10073,Electronics,HP Spectre x360 Laptop,1,1599.99,1599.99,North America,Credit Card,13/03/2024
10074,Home Appliances,De'Longhi Magnifica Espresso Machine,1,899.99,899.99,Europe,PayPal,14/03/2024
10075,Clothing,Tommy Hilfiger Polo Shirt,5,49.99,249.95,Asia,Debit Card,15/03/2024
10076,Books,To Kill a Mockingbird by Harper Lee,4,14.99,59.96,North America,Credit Card,16/03/2024
10077,Beauty Products,Glossier Boy Brow,2,16,32,Europe,PayPal,17/03/2024
10078,Sports,Rogue Fitness Kettlebell,3,69.99,209.97,Asia,Credit Card,18/03/2024
10079,Electronics,Apple AirPods Pro,2,249.99,499.98,North America,Credit Card,19/03/2024
10080,Home Appliances,Dyson Pure Cool Link,1,499.99,499.99,Europe,PayPal,20/03/2024
10081,Clothing,Levi's Trucker Jacket,2,89.99,179.98,Asia,Debit Card,21/03/2024
10082,Books,The Hobbit by J.R.R. Tolkien,3,12.99,38.97,North America,Credit Card,22/03/2024
10083,Beauty Products,Charlotte Tilbury Magic Cream,1,100,100,Europe,PayPal,23/03/2024
10084,Sports,Spalding NBA Street Basketball,6,24.99,149.94,Asia,Credit Card,24/03/2024
10085,Electronics,Ring Video Doorbell,1,99.99,99.99,North America,Credit Card,25/03/2024
10086,Home Appliances,LG OLED TV,2,1299.99,2599.98,Europe,PayPal,26/03/2024
10087,Clothing,Uniqlo Ultra Light Down Jacket,3,79.99,239.97,Asia,Debit Card,27/03/2024
10088,Books,The Catcher in the Rye by J.D. Salinger,4,13.99,55.96,North America,Credit Card,28/03/2024
10089,Beauty Products,Sunday Riley Good Genes,1,105,105,Europe,PayPal,29/03/2024
10090,Sports,On Running Cloud Shoes,2,129.99,259.98,Asia,Credit Card,30/03/2024
10091,Electronics,Logitech MX Master 3 Mouse,2,99.99,199.98,North America,Credit Card,31/03/2024
10092,Home Appliances,Instant Pot Duo Crisp,1,179.99,179.99,Europe,PayPal,01/04/2024
10093,Clothing,Adidas Originals Superstar Sneakers,4,79.99,319.96,Asia,Debit Card,02/04/2024
10094,Books,The Alchemist by Paulo Coelho,3,14.99,44.97,North America,Credit Card,03/04/2024
10095,Beauty Products,Tatcha The Water Cream,1,68,68,Europe,PayPal,04/04/2024
10096,Sports,Garmin Fenix 6X Pro,1,999.99,999.99,Asia,Credit Card,05/04/2024
10097,Electronics,Bose SoundLink Revolve+ Speaker,3,299.99,899.97,North America,Credit Card,06/04/2024
10098,Home Appliances,Vitamix Explorian Blender,1,349.99,349.99,Europe,PayPal,07/04/2024
10099,Clothing,Gap Essential Crewneck T-Shirt,6,19.99,119.94,Asia,Debit Card,08/04/2024
10100,Books,The Power of Now by Eckhart Tolle,2,12.99,25.98,North America,Credit Card,09/04/2024
10101,Beauty Products,Kiehl's Midnight Recovery Concentrate,1,82,82,Europe,PayPal,10/04/2024
10102,Sports,Under Armour HOVR Sonic 4 Shoes,2,109.99,219.98,Asia,Credit Card,11/04/2024
10103,Electronics,Canon EOS R5 Camera,1,3899.99,3899.99,North America,Credit Card,12/04/2024
10104,Home Appliances,Shark IQ Robot Vacuum,2,349.99,699.98,Europe,PayPal,13/04/2024
10105,Clothing,H&M Slim Fit Jeans,3,39.99,119.97,Asia,Debit Card,14/04/2024
10106,Books,The Girl on the Train by Paula Hawkins,4,10.99,43.96,North America,Credit Card,15/04/2024
10107,Beauty Products,The Ordinary Niacinamide Serum,1,6.5,6.5,Europe,PayPal,16/04/2024
10108,Sports,Bowflex SelectTech 552 Dumbbells,1,399.99,399.99,Asia,Credit Card,17/04/2024
10109,Electronics,Google Nest Hub Max,2,229.99,459.98,North America,Credit Card,18/04/2024
10110,Home Appliances,Cuisinart Griddler Deluxe,1,159.99,159.99,Europe,PayPal,19/04/2024
10111,Clothing,Old Navy Relaxed-Fit T-Shirt,4,14.99,59.96,Asia,Debit Card,20/04/2024
10112,Books,Sapiens: A Brief History of Humankind by Yuval Noah Harari,2,18.99,37.98,North America,Credit Card,21/04/2024
10113,Beauty Products,Biore UV Aqua Rich Watery Essence Sunscreen,1,15,15,Europe,PayPal,22/04/2024
10114,Sports,Fitbit Versa 3,3,229.95,689.85,Asia,Credit Card,23/04/2024
10115,Electronics,Amazon Echo Show 10,1,249.99,249.99,North America,Credit Card,24/04/2024
10116,Home Appliances,Breville Smart Grill,2,299.95,599.9,Europe,PayPal,25/04/2024
10117,Clothing,Gap High Rise Skinny Jeans,3,49.99,149.97,Asia,Debit Card,26/04/2024
10118,Books,Atomic Habits by James Clear,4,16.99,67.96,North America,Credit Card,27/04/2024
10119,Beauty Products,CeraVe Hydrating Facial Cleanser,2,14.99,29.98,Europe,PayPal,28/04/2024
10120,Sports,YETI Hopper Flip Portable Cooler,1,249.99,249.99,Asia,Credit Card,29/04/2024
10121,Electronics,Apple iPad Air,2,599.99,1199.98,North America,Credit Card,30/04/2024
10122,Home Appliances,Hamilton Beach FlexBrew Coffee Maker,1,89.99,89.99,Europe,PayPal,01/05/2024
10123,Clothing,Forever 21 Graphic Tee,5,12.99,64.95,Asia,Debit Card,02/05/2024
10124,Books,The Subtle Art of Not Giving a F*ck by Mark Manson,3,14.99,44.97,North America,Credit Card,03/05/2024
10125,Beauty Products,NARS Radiant Creamy Concealer,1,30,30,Europe,PayPal,04/05/2024
10126,Sports,Yeti Roadie 24 Cooler,1,199.99,199.99,Asia,Credit Card,05/05/2024
10127,Electronics,Sony PlayStation 5,1,499.99,499.99,North America,Credit Card,06/05/2024
10128,Home Appliances,Dyson Supersonic Hair Dryer,2,399.99,799.98,Europe,PayPal,07/05/2024
10129,Clothing,Lululemon Align Leggings,3,98,294,Asia,Debit Card,08/05/2024
10130,Books,The Four Agreements by Don Miguel Ruiz,2,8.99,17.98,North America,Credit Card,09/05/2024
10131,Beauty Products,Fenty Beauty Killawatt Highlighter,1,36,36,Europe,PayPal,10/05/2024
10132,Sports,Hydro Flask Wide Mouth Water Bottle,4,39.95,159.8,Asia,Credit Card,11/05/2024
10133,Electronics,Microsoft Surface Laptop 4,1,1299.99,1299.99,North America,Credit Card,12/05/2024
10134,Home Appliances,Keurig K-Mini Coffee Maker,2,79.99,159.98,Europe,PayPal,13/05/2024
10135,Clothing,Gap Crewneck Sweatshirt,4,34.99,139.96,Asia,Debit Card,14/05/2024
10136,Books,Think and Grow Rich by Napoleon Hill,3,9.99,29.97,North America,Credit Card,15/05/2024
10137,Beauty Products,The Ordinary Hyaluronic Acid Serum,1,6.8,6.8,Europe,PayPal,16/05/2024
10138,Sports,Fitbit Inspire 2,2,99.95,199.9,Asia,Credit Card,17/05/2024
10139,Electronics,Samsung Odyssey G9 Gaming Monitor,1,1499.99,1499.99,North America,Credit Card,18/05/2024
10140,Home Appliances,Instant Pot Ultra,1,139.99,139.99,Europe,PayPal,19/05/2024
10141,Clothing,Adidas Essential Track Pants,3,44.99,134.97,Asia,Debit Card,20/05/2024
10142,Books,The Power of Habit by Charles Duhigg,2,11.99,23.98,North America,Credit Card,21/05/2024
10143,Beauty Products,Clinique Dramatically Different Moisturizing Lotion,1,29.5,29.5,Europe,PayPal,22/05/2024
10144,Sports,YETI Tundra 45 Cooler,1,299.99,299.99,Asia,Credit Card,23/05/2024
10145,Electronics,Apple AirPods Max,1,549,549,North America,Credit Card,24/05/2024
10146,Home Appliances,Cuisinart Coffee Center,2,199.95,399.9,Europe,PayPal,25/05/2024
10147,Clothing,Levi's Sherpa Trucker Jacket,2,98,196,Asia,Debit Card,26/05/2024
10148,Books,The Outsiders by S.E. Hinton,3,10.99,32.97,North America,Credit Card,27/05/2024
10149,Beauty Products,Laneige Water Sleeping Mask,1,25,25,Europe,PayPal,28/05/2024
10150,Sports,Bose SoundSport Wireless Earbuds,2,149.99,299.98,Asia,Credit Card,29/05/2024
10151,Electronics,Sony WH-1000XM4 Headphones,1,349.99,349.99,North America,Credit Card,30/05/2024
10152,Home Appliances,Ninja Foodi Pressure Cooker,2,199.99,399.98,Europe,PayPal,31/05/2024
10153,Clothing,Nike Sportswear Club Fleece Hoodie,3,54.99,164.97,Asia,Debit Card,01/06/2024
10154,Books,The Night Circus by Erin Morgenstern,2,16.99,33.98,North America,Credit Card,02/06/2024
10155,Beauty Products,GlamGlow Supermud Clearing Treatment,1,59,59,Europe,PayPal,03/06/2024
10156,Sports,Garmin Forerunner 245,1,299.99,299.99,Asia,Credit Card,04/06/2024
10157,Electronics,Google Pixel 6 Pro,1,899.99,899.99,North America,Credit Card,05/06/2024
10158,Home Appliances,Breville Nespresso Creatista Plus,1,499.95,499.95,Europe,PayPal,06/06/2024
10159,Clothing,Under Armour Tech 2.0 T-Shirt,4,24.99,99.96,Asia,Debit Card,07/06/2024
10160,Books,The Art of War by Sun Tzu,3,7.99,23.97,North America,Credit Card,08/06/2024
10161,Beauty Products,Youth to the People Superfood Antioxidant Cleanser,1,36,36,Europe,PayPal,09/06/2024
10162,Sports,TriggerPoint GRID Foam Roller,2,34.99,69.98,Asia,Credit Card,10/06/2024
10163,Electronics,Apple MacBook Air,1,1199.99,1199.99,North America,Credit Card,11/06/2024
10164,Home Appliances,Cuisinart Custom 14-Cup Food Processor,1,199.99,199.99,Europe,PayPal,12/06/2024
10165,Clothing,Adidas 3-Stripes Shorts,5,29.99,149.95,Asia,Debit Card,13/06/2024
10166,Books,The Hunger Games by Suzanne Collins,4,8.99,35.96,North America,Credit Card,14/06/2024
10167,Beauty Products,Neutrogena Hydro Boost Water Gel,1,16.99,16.99,Europe,PayPal,15/06/2024
10168,Sports,Yeti Rambler Bottle,3,49.99,149.97,Asia,Credit Card,16/06/2024
10169,Electronics,Samsung Odyssey G7 Gaming Monitor,1,699.99,699.99,North America,Credit Card,17/06/2024
10170,Home Appliances,Instant Pot Duo Evo Plus,2,139.99,279.98,Europe,PayPal,18/06/2024
10171,Clothing,Nike Tempo Running Shorts,3,34.99,104.97,Asia,Debit Card,19/06/2024
10172,Books,The Girl with the Dragon Tattoo by Stieg Larsson,2,9.99,19.98,North America,Credit Card,20/06/2024
10173,Beauty Products,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,1,29.5,29.5,Europe,PayPal,21/06/2024
10174,Sports,Bowflex SelectTech 1090 Adjustable Dumbbells,1,699.99,699.99,Asia,Credit Card,22/06/2024
10175,Electronics,Amazon Fire TV Stick 4K,3,49.99,149.97,North America,Credit Card,23/06/2024
10176,Home Appliances,Crock-Pot 6-Quart Slow Cooker,2,49.99,99.98,Europe,PayPal,24/06/2024
10177,Clothing,Uniqlo Airism Mesh Boxer Briefs,4,14.9,59.6,Asia,Debit Card,25/06/2024
10178,Books,The Sun Also Rises by Ernest Hemingway,3,11.99,35.97,North America,Credit Card,26/06/2024
10179,Beauty Products,First Aid Beauty Ultra Repair Cream,2,34,68,Europe,PayPal,27/06/2024
10180,Sports,Oakley Holbrook Sunglasses,1,146,146,Asia,Credit Card,28/06/2024
10181,Electronics,Google Pixelbook Go,1,649.99,649.99,North America,Credit Card,29/06/2024
10182,Home Appliances,Dyson V8 Absolute,1,399.99,399.99,Europe,PayPal,30/06/2024
10183,Clothing,Levi's 511 Slim Fit Jeans,3,59.99,179.97,Asia,Debit Card,01/07/2024
10184,Books,The Martian by Andy Weir,2,12.99,25.98,North America,Credit Card,02/07/2024
10185,Beauty Products,La Mer Crème de la Mer Moisturizer,1,190,190,Europe,PayPal,03/07/2024
10186,Sports,Polar Vantage V2,1,499.95,499.95,Asia,Credit Card,04/07/2024
10187,Electronics,Sonos Beam Soundbar,1,399,399,North America,Credit Card,05/07/2024
10188,Home Appliances,Anova Precision Cooker,2,199,398,Europe,PayPal,06/07/2024
10189,Clothing,Nike Dri-FIT Training Shorts,4,34.99,139.96,Asia,Debit Card,07/07/2024
10190,Books,The Catcher in the Rye by J.D. Salinger,3,10.99,32.97,North America,Credit Card,08/07/2024
10191,Beauty Products,Glossier Cloud Paint,1,18,18,Europe,PayPal,09/07/2024
10192,Sports,TRX All-in-One Suspension Training System,1,169.95,169.95,Asia,Credit Card,10/07/2024
10193,Electronics,Logitech G Pro X Wireless Gaming Headset,1,199.99,199.99,North America,Credit Card,11/07/2024
10194,Home Appliances,Breville Smart Coffee Grinder Pro,1,199.95,199.95,Europe,PayPal,12/07/2024
10195,Clothing,Adidas Ultraboost Running Shoes,2,179.99,359.98,Asia,Debit Card,13/07/2024
10196,Books,The Road by Cormac McCarthy,2,11.99,23.98,North America,Credit Card,14/07/2024
10197,Beauty Products,Tom Ford Black Orchid Perfume,1,125,125,Europe,PayPal,15/07/2024
10198,Sports,GoPro HERO9 Black,1,449.99,449.99,Asia,Credit Card,16/07/2024
10199,Electronics,Apple TV 4K,2,179,358,North America,Credit Card,17/07/2024
10200,Home Appliances,Instant Pot Duo Nova,1,99.95,99.95,Europe,PayPal,18/07/2024
10201,Clothing,Gap 1969 Original Fit Jeans,3,59.99,179.97,Asia,Debit Card,19/07/2024
10202,Books,The Goldfinch by Donna Tartt,2,14.99,29.98,North America,Credit Card,20/07/2024
10203,Beauty Products,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,1,52,52,Europe,PayPal,21/07/2024
10204,Sports,Yeti Tundra Haul Portable Wheeled Cooler,1,399.99,399.99,Asia,Credit Card,22/07/2024
10205,Electronics,Samsung Galaxy Watch 4,1,299.99,299.99,North America,Credit Card,23/07/2024
10206,Home Appliances,KitchenAid Stand Mixer,1,379.99,379.99,Europe,PayPal,24/07/2024
10207,Clothing,Lululemon Wunder Under High-Rise Leggings,2,98,196,Asia,Debit Card,25/07/2024
10208,Books,The Great Alone by Kristin Hannah,3,16.99,50.97,North America,Credit Card,26/07/2024
10209,Beauty Products,Caudalie Vinoperfect Radiance Serum,1,79,79,Europe,PayPal,27/07/2024
10210,Sports,Bose SoundLink Color Bluetooth Speaker II,1,129,129,Asia,Credit Card,28/07/2024
10211,Electronics,Canon EOS Rebel T7i DSLR Camera,1,749.99,749.99,North America,Credit Card,29/07/2024
10212,Home Appliances,Keurig K-Elite Coffee Maker,2,169.99,339.98,Europe,PayPal,30/07/2024
10213,Clothing,Uniqlo Airism Seamless Boxer Briefs,4,9.9,39.6,Asia,Debit Card,31/07/2024
10214,Books,The Girl with the Dragon Tattoo by Stieg Larsson,3,10.99,32.97,North America,Credit Card,01/08/2024
10215,Beauty Products,L'Occitane Shea Butter Hand Cream,2,29,58,Europe,PayPal,02/08/2024
10216,Sports,YETI Tundra 65 Cooler,1,349.99,349.99,Asia,Credit Card,03/08/2024
10217,Electronics,Apple MacBook Pro 16-inch,1,2399,2399,North America,Credit Card,04/08/2024
10218,Home Appliances,iRobot Braava Jet M6,1,449.99,449.99,Europe,PayPal,05/08/2024
10219,Clothing,Champion Reverse Weave Hoodie,3,49.99,149.97,Asia,Debit Card,06/08/2024
10220,Books,The Nightingale by Kristin Hannah,2,12.99,25.98,North America,Credit Card,07/08/2024
10221,Beauty Products,Tarte Shape Tape Concealer,1,27,27,Europe,PayPal,08/08/2024
10222,Sports,Garmin Forerunner 945,1,599.99,599.99,Asia,Credit Card,09/08/2024
10223,Electronics,Amazon Echo Dot (4th Gen),4,49.99,199.96,North America,Credit Card,10/08/2024
10224,Home Appliances,Philips Sonicare DiamondClean Toothbrush,2,229.99,459.98,Europe,PayPal,11/08/2024
10225,Clothing,Old Navy Mid-Rise Rockstar Super Skinny Jeans,2,44.99,89.98,Asia,Debit Card,12/08/2024
10226,Books,The Silent Patient by Alex Michaelides,3,26.99,80.97,North America,Credit Card,13/08/2024
10227,Beauty Products,The Ordinary Caffeine Solution 5% + EGCG,1,6.7,6.7,Europe,PayPal,14/08/2024
10228,Sports,Fitbit Luxe,2,149.95,299.9,Asia,Credit Card,15/08/2024
10229,Electronics,Google Nest Wifi Router,1,169,169,North America,Credit Card,16/08/2024
10230,Home Appliances,Anova Precision Oven,1,599,599,Europe,PayPal,17/08/2024
10231,Clothing,Adidas Originals Trefoil Hoodie,4,64.99,259.96,Asia,Debit Card,18/08/2024
10232,Books,Dune by Frank Herbert,2,9.99,19.98,North America,Credit Card,19/08/2024
10233,Beauty Products,Fresh Sugar Lip Treatment,1,24,24,Europe,PayPal,20/08/2024
10234,Sports,Hydro Flask Standard Mouth Water Bottle,3,32.95,98.85,Asia,Credit Card,21/08/2024
10235,Electronics,Bose QuietComfort 35 II Wireless Headphones,1,299,299,North America,Credit Card,22/08/2024
10236,Home Appliances,Nespresso Vertuo Next Coffee and Espresso Maker,1,159.99,159.99,Europe,PayPal,23/08/2024
10237,Clothing,Nike Air Force 1 Sneakers,3,90,270,Asia,Debit Card,24/08/2024
10238,Books,The Handmaid's Tale by Margaret Atwood,3,10.99,32.97,North America,Credit Card,25/08/2024
10239,Beauty Products,Sunday Riley Luna Sleeping Night Oil,1,55,55,Europe,PayPal,26/08/2024
10240,Sports,Yeti Rambler 20 oz Tumbler,2,29.99,59.98,Asia,Credit Card,27/08/2024
